administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,project_value_rands,br_featured,featured,financial_year,budget_phase,amount_rands,project_slug
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2020,MTEF,167298000,environment-forestry-and-fisheries-departmental-head-office-building
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2021,MTEF,179845000,environment-forestry-and-fisheries-departmental-head-office-building
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2022,MTEF,191246000,environment-forestry-and-fisheries-departmental-head-office-building
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2016,Audited Outcome,0,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2017,Audited Outcome,0,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2018,Audited Outcome,12588000,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2019,Adjusted Appropriation,71863000,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2020,MTEF,100000000,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2021,MTEF,67808000,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Water and Sanitation,Economic Services and Infrastructure,Driekoppies bulk water supply Upgradings,Construction of new bulk water scheme,"-25.710982, 31.565898",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,397646000,,True,2022,MTEF,50000000,water-and-sanitation-driekoppies-bulk-water-supply-upgradings
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2016,Audited Outcome,19608000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2017,Audited Outcome,27381000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2018,Audited Outcome,27371000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2019,Adjusted Appropriation,21078000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2020,MTEF,65500000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2021,MTEF,131471000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.862050, 31.019423",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,,True,2022,MTEF,191477800,justice-and-constitutional-development-durban-high-court
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2016,Audited Outcome,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2017,Audited Outcome,357022000,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2018,Audited Outcome,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2019,Adjusted Appropriation,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2020,MTEF,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2021,MTEF,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,EPWP Infrastructure Projects,EPWP Infrastructure Projects,"-25.7379, 28.2028",New infrastructure assets,"Buildings, fences,roads",Hand over,SIP 8: Green energy in support of the South African economy,357022000,,True,2022,MTEF,0,environment-forestry-and-fisheries-epwp-infrastructure-projects
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2016,Audited Outcome,102062000,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2017,Audited Outcome,129602000,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2018,Audited Outcome,59240817.43,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2019,Adjusted Appropriation,1452000,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2020,MTEF,1560000,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2021,MTEF,0,correctional-services-estcourt-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Estcourt correctional centre,Provision of 309 additional beds and support facilities provided,"-29.014632, 29.880920",Upgrading and additions,Correctional Centre,Construction,Not related to SIPs,307210000,,True,2022,MTEF,0,correctional-services-estcourt-correctional-centre
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2016,Audited Outcome,102557000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2017,Audited Outcome,99841000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2018,Audited Outcome,120185000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2019,Adjusted Appropriation,114234000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2020,MTEF,114234000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2021,MTEF,298100000,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani bulk water supply relief phase 1 (Nandoni Nsami),Construction of new bulk water scheme,"-23.302988, 30.727107",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,752832000,,True,2022,MTEF,0,water-and-sanitation-giyani-bulk-water-supply-relief-phase-1-nandoni-nsami
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2016,Audited Outcome,912578000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2017,Audited Outcome,633952000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2018,Audited Outcome,609656000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2019,Adjusted Appropriation,114027000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2020,MTEF,306000000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2021,MTEF,0,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826, 30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,,True,2022,MTEF,0,water-and-sanitation-giyani-water-services-phase-2
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2016,Audited Outcome,14941000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2017,Audited Outcome,7466000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2018,Audited Outcome,77078000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2019,Adjusted Appropriation,247000000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2020,MTEF,454117000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2021,MTEF,492255000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo:  Acadedmic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3758372408.27,,True,2022,MTEF,502142000,health-limpopo-acadedmic-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2016,Audited Outcome,19116000,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2017,Audited Outcome,2540000,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2018,Audited Outcome,0,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2019,Adjusted Appropriation,30000000,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2020,MTEF,30000000,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2021,MTEF,89743000,health-limpopo-elim-hospital
National,Health,Social Services,Limpopo: Elim hospital,"Replacement of hospital and provision of a new gateway clinic in Vhembe District, Limpopo Province.","-23.15409, 30.05617",New infrastructure assets,District hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,2381399000,,True,2022,MTEF,100000000,health-limpopo-elim-hospital
